State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,01/01/2025,1200,2712,2200,23
Maharashtra,Nashik,Devala,Onion,Red,FAQ,01/01/2025,700,2630,2350,23
Maharashtra,Nashik,Dindori(Vani),Onion,Red,FAQ,01/01/2025,1451,3300,2601,23
Maharashtra,Nashik,Lasalgaon,Onion,Red,FAQ,01/01/2025,1100,3019,2451,23
Maharashtra,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,01/01/2025,1100,2810,2451,23
Maharashtra,Nashik,Lasalgaon(Vinchur),Onion,Red,FAQ,01/01/2025,1000,2840,2400,23
Maharashtra,Nashik,Manmad,Onion,White,FAQ,01/01/2025,600,2300,2151,23
Maharashtra,Nashik,Manmad,Onion,Red,FAQ,01/01/2025,200,2711,2300,23
Maharashtra,Nashik,Nampur,Onion,Red,FAQ,01/01/2025,200,2790,2400,23
Maharashtra,Nashik,Nandgaon,Onion,Red,FAQ,01/01/2025,210,2651,1850,23
Maharashtra,Nashik,Nasik,Onion,Pole,FAQ,01/01/2025,1100,2701,2300,23
Maharashtra,Nashik,Pimpalgaon,Onion,Pole,FAQ,01/01/2025,951,3005,2300,23
Maharashtra,Nashik,Pimpalgaon Baswant(Saykheda),Onion,Red,FAQ,01/01/2025,800,2551,2150,23
Maharashtra,Nashik,Shivsiddha Govind Producer Company Limited Sanchal,Onion,Red,FAQ,01/01/2025,2100,2900,2660,23
Maharashtra,Nashik,Sinner,Onion,Red,FAQ,01/01/2025,500,2790,2400,23
Maharashtra,Nashik,Umrane,Onion,Red,FAQ,01/01/2025,900,2915,1900,23
Maharashtra,Nashik,Yeola,Onion,Red,FAQ,01/01/2025,500,2789,2150,23
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,02/01/2025,1090,2651,2070,23
Maharashtra,Nashik,Devala,Onion,Red,FAQ,02/01/2025,300,2555,2200,23
Maharashtra,Nashik,Dindori(Vani),Onion,Red,FAQ,02/01/2025,1500,3109,2401,23
Maharashtra,Nashik,Kalvan,Onion,Red,FAQ,02/01/2025,1400,3100,2401,23
Maharashtra,Nashik,Lasalgaon,Onion,Red,FAQ,02/01/2025,1000,3000,2401,23
Maharashtra,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,02/01/2025,1000,2620,2350,23
Maharashtra,Nashik,Lasalgaon(Vinchur),Onion,Red,FAQ,02/01/2025,1000,3001,2400,23
Maharashtra,Nashik,Manmad,Onion,Red,FAQ,02/01/2025,200,2711,2200,23
Maharashtra,Nashik,Manmad,Onion,White,FAQ,02/01/2025,785,2461,2100,23
Maharashtra,Nashik,Nampur,Onion,Red,FAQ,02/01/2025,300,2400,1900,23
Maharashtra,Nashik,Nandgaon,Onion,Red,FAQ,02/01/2025,235,2600,1850,23
Maharashtra,Nashik,Nasik,Onion,Pole,FAQ,02/01/2025,1300,2601,2200,23
Maharashtra,Nashik,Pimpalgaon,Onion,Pole,FAQ,02/01/2025,990,3080,2350,23
Maharashtra,Nashik,Pimpalgaon Baswant(Saykheda),Onion,Red,FAQ,02/01/2025,971,2500,2050,23
Maharashtra,Nashik,Shivsiddha Govind Producer Company Limited Sanchal,Onion,Red,FAQ,02/01/2025,1900,2900,2550,23
Maharashtra,Nashik,Sinner,Onion,Red,FAQ,02/01/2025,500,2701,2200,23
Maharashtra,Nashik,Umrane,Onion,Red,FAQ,02/01/2025,700,2770,1850,23
Maharashtra,Nashik,Yeola,Onion,Red,FAQ,02/01/2025,400,2675,2000,23
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,03/01/2025,1212,2781,2200,23
Maharashtra,Nashik,Devala,Onion,Red,FAQ,03/01/2025,700,2535,2250,23
Maharashtra,Nashik,Devala,Onion,Red,FAQ,03/01/2025,700,2500,2250,23
Maharashtra,Nashik,Dindori(Vani),Onion,Red,FAQ,03/01/2025,1650,3300,2525,23
Maharashtra,Nashik,Kalvan,Onion,Red,FAQ,03/01/2025,1200,3051,3050,23
Maharashtra,Nashik,Lasalgaon,Onion,Red,FAQ,03/01/2025,900,2912,2400,23
Maharashtra,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,03/01/2025,1000,2750,2350,23
Maharashtra,Nashik,Lasalgaon(Vinchur),Onion,Red,FAQ,03/01/2025,1000,2800,2400,23
Maharashtra,Nashik,Manmad,Onion,White,FAQ,03/01/2025,1352,2461,2200,23
Maharashtra,Nashik,Manmad,Onion,Red,FAQ,03/01/2025,500,2610,2200,23
Maharashtra,Nashik,Manmad,Onion,Red,FAQ,03/01/2025,500,2610,2100,23
Maharashtra,Nashik,Nampur,Onion,Red,FAQ,03/01/2025,500,2695,2000,23
Maharashtra,Nashik,Nandgaon,Onion,Red,FAQ,03/01/2025,200,2415,1750,23
Maharashtra,Nashik,Nasik,Onion,Pole,FAQ,03/01/2025,1200,2700,2250,23
Maharashtra,Nashik,Pimpalgaon,Onion,Pole,FAQ,03/01/2025,1000,3122,2300,23
Maharashtra,Nashik,Pimpalgaon Baswant(Saykheda),Onion,Red,FAQ,03/01/2025,800,2451,2000,23
Maharashtra,Nashik,Pimpalgaon Baswant(Saykheda),Onion,Red,FAQ,03/01/2025,800,2500,2000,23
Maharashtra,Nashik,Shree Rameshwar Krushi Market ,Onion,Red,FAQ,03/01/2025,400,3161,2031.29,23
Maharashtra,Nashik,Sinner,Onion,Red,FAQ,03/01/2025,500,2830,2400,23
Maharashtra,Nashik,Umrane,Onion,Red,FAQ,03/01/2025,700,2735,1900,23
Maharashtra,Nashik,Yeola,Onion,Red,FAQ,03/01/2025,625,2726,2000,23
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,04/01/2025,1201,2764,2280,23
Maharashtra,Nashik,Dindori(Vani),Onion,Red,FAQ,04/01/2025,1700,3050,2550,23
Maharashtra,Nashik,Lasalgaon,Onion,Red,FAQ,04/01/2025,1000,3012,2500,23
Maharashtra,Nashik,Lasalgaon(Niphad),Onion,Red,FAQ,04/01/2025,1000,2852,2500,23
Maharashtra,Nashik,Lasalgaon(Vinchur),Onion,Red,FAQ,04/01/2025,1000,3001,2450,23
Maharashtra,Nashik,Manmad,Onion,Red,FAQ,04/01/2025,500,2610,2400,23
Maharashtra,Nashik,Manmad,Onion,Red,FAQ,04/01/2025,500,2600,2200,23
Maharashtra,Nashik,Manmad,Onion,White,FAQ,04/01/2025,1800,2375,2100,23
Maharashtra,Nashik,Nasik,Onion,Pole,FAQ,04/01/2025,1000,2751,2300,23
Maharashtra,Nashik,Pimpalgaon,Onion,Pole,FAQ,04/01/2025,1151,3036,2400,23
Maharashtra,Nashik,Pimpalgaon Baswant(Saykheda),Onion,Red,FAQ,04/01/2025,700,2649,2275,23
Maharashtra,Nashik,Shivsiddha Govind Producer Company Limited Sanchal,Onion,Red,FAQ,04/01/2025,1900,3100,2560,23
Maharashtra,Nashik,Yeola,Onion,Red,FAQ,04/01/2025,500,2701,2150,23
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,06/01/2025,1201,2726,2280,23
Maharashtra,Nashik,Devala,Onion,Red,FAQ,06/01/2025,900,2905,2500,23
Maharashtra,Nashik,Dindori(Vani),Onion,Red,FAQ,06/01/2025,1901,3043,2451,23
Maharashtra,Nashik,Kalvan,Onion,Red,FAQ,06/01/2025,1100,2920,2401,23
Maharashtra,Nashik,Lasalgaon,Onion,Red,FAQ,06/01/2025,1100,2960,2500,23
