State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,05/04/2016,100,858,730,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,16/04/2016,200,815,730,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,28/04/2016,150,765,650,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,04/05/2016,200,740,630,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,07/05/2016,200,771,660,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,11/05/2016,250,827,690,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,23/06/2016,250,930,770,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,28/06/2016,100,965,770,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,01/07/2016,250,897,750,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,07/07/2016,260,962,775,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,08/07/2016,300,900,750,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,10/08/2016,300,813,675,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,26/08/2016,250,770,600,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,03/09/2016,200,689,600,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,07/04/2015,200,1301,1000,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,10/04/2015,450,1290,1000,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,07/05/2015,251,1462,1061,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,08/05/2015,300,1513,1000,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,09/05/2015,250,1540,1000,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,20/05/2015,200,1550,950,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,28/05/2015,201,1800,1200,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,03/06/2015,351,1780,1300,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,04/06/2015,335,1830,1300,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,05/06/2015,470,1900,1350,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,06/06/2015,543,1897,1300,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,20/06/2015,301,1872,1450,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,24/06/2015,200,1886,1400,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,26/06/2015,270,1721,1350,23
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,01/07/2015,500,1741,1500,23
